Modelo,FPS_medio,Tempo_medio_ms,Confianca_media,TP,FP,FN,TN,Precisao,Recall,F1,Acuracia,Total_frames
YOLOv8,6.89,145.12,0.6827,57,870,0,353,0.0615,1.0,0.1159,0.3203,1280
SSD,14.7,68.02,0.6635,0,0,57,1223,0.0,0.0,0.0,0.9555,1280
Faster R-CNN,0.67,1499.76,0.8727,57,776,0,447,0.0684,1.0,0.1281,0.3937,1280
RetinaNet,0.67,1492.26,0.73,57,719,0,504,0.0735,1.0,0.1369,0.4383,1280
FCOS,0.75,1338.22,0.6689,57,829,0,394,0.0643,1.0,0.1209,0.3523,1280
EfficientDet,7.38,135.54,0.6297,57,183,0,1040,0.2375,1.0,0.3838,0.857,1280
DETR,1.1,907.2,0.9075,57,901,0,322,0.0595,1.0,0.1123,0.2961,1280
RT-DETR,2.08,480.96,0.794,57,1076,0,147,0.0503,1.0,0.0958,0.1594,1280
Conditional DETR,1.06,942.78,0.6708,57,834,0,389,0.064,1.0,0.1203,0.3484,1280
Deformable DETR,0.26,3790.1,0.7134,57,871,0,352,0.0614,1.0,0.1157,0.3195,1280
